gbifID;datasetKey;occurrenceID;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;scientificName;verbatimScientificName;verbatimScientificNameAuthorship;countryCode;locality;stateProvince;occurrenceStatus;individualCount;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;depth;depthAccuracy;eventDate;day;month;year;taxonKey;speciesKey;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordNumber;identifiedBy;dateIdentified;license;rightsHolder;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue
3090565271;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/73562863;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;;SPECIES;Puma concolor (Linnaeus, 1771);Puma concolor;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;44.079716;-122.76841;30;;;;;;2021-04-02T07:34:45;2;4;2021;2435099;2435099;HUMAN_OBSERVATION;iNaturalist;Observations;73562863;;Hilary Rose Dawson;2021-04-11T03:15:40;CC_BY_NC_4_0;meat6895;meat6895;;;2021-05-09T23:16:41.203Z;StillImage;COORDINATE_ROUNDED
3079712100;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/73244899;Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;Felis catus;;SPECIES;Felis catus Linnaeus, 1758;Felis catus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;44.932546;-123.014431;65;;;;;;2021-04-07T16:26:31;7;4;2021;2435035;2435035;HUMAN_OBSERVATION;iNaturalist;Observations;73244899;;Alia Mahmood;2021-04-07T23:29:59;CC_BY_NC_4_0;Alia Mahmood;Alia Mahmood;;;2021-05-09T22:35:34.509Z;StillImage;COORDINATE_ROUNDED
3079702454;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/72807355;Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;Felis catus;;SPECIES;Felis catus Linnaeus, 1758;Felis catus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;45.682664;-121.390112;6;;;;;;2021-04-03T12:02:24;3;4;2021;2435035;2435035;HUMAN_OBSERVATION;iNaturalist;Observations;72807355;;Auden;2021-04-03T19:08:37;CC_BY_NC_4_0;Auden;Auden;;;2021-05-09T22:58:50.124Z;StillImage;COORDINATE_ROUNDED
3079685209;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/71925955;Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;Felis catus;;SPECIES;Felis catus Linnaeus, 1758;Felis catus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;44.387491;-121.033555;27348;;;;;;2021-03-21T11:19:52;21;3;2021;2435035;2435035;HUMAN_OBSERVATION;iNaturalist;Observations;71925955;;maxallen;2021-04-01T14:25:21;CC_BY_NC_4_0;Henrik Kibak;Henrik Kibak;;;2021-05-09T22:57:21.719Z;StillImage;COORDINATE_ROUNDED
3079610501;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/72856809;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;Lynx rufus;;SPECIES;Lynx rufus (Schreber, 1777);Lynx rufus;;US;;California;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;41.339861;-122.072208;14;;;;;;2021-02-18T12:45:00;18;2;2021;2435246;2435246;HUMAN_OBSERVATION;iNaturalist;Observations;72856809;;Kathy Claypole Biggs;2021-04-04T02:52:21;CC_BY_NC_4_0;Kathy Claypole Biggs;Kathy Claypole Biggs;;;2021-05-09T22:56:10.672Z;StillImage;COORDINATE_ROUNDED
3070456693;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/72617825;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;Lynx rufus;;SPECIES;Lynx rufus (Schreber, 1777);Lynx rufus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;44.525983;-121.268945;5;;;;;;2021-01-02T06:50:00;2;1;2021;2435246;2435246;HUMAN_OBSERVATION;iNaturalist;Observations;72617825;;Link Olson;2021-04-01T17:11:58;CC_BY_NC_4_0;Link Olson;Link Olson;;;2021-05-09T22:57:39.742Z;StillImage;GEODETIC_DATUM_ASSUMED_WGS84
3070427707;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/72177978;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;;SPECIES;Puma concolor (Linnaeus, 1771);Puma concolor;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;42.663903;-122.699973;7;;;;;;2021-03-27T09:49:16;27;3;2021;2435099;2435099;HUMAN_OBSERVATION;iNaturalist;Observations;72177978;;froglover_84;2021-03-27T16:51:19;CC_BY_NC_4_0;froglover_84;froglover_84;;;2021-05-09T22:57:50.639Z;StillImage;COORDINATE_ROUNDED
3067735682;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/71622371;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;Lynx rufus;;SPECIES;Lynx rufus (Schreber, 1777);Lynx rufus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;42.853127;-121.024884;27568;;;;;;2021-01-16T13:43:48;16;1;2021;2435246;2435246;HUMAN_OBSERVATION;iNaturalist;Observations;71622371;;plantgoddess42;2021-03-20T15:45:20;CC_BY_NC_4_0;plantgoddess42;plantgoddess42;;;2021-05-09T23:16:26.899Z;StillImage;COORDINATE_ROUNDED
3061625039;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/71396276;Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;Felis catus;;SPECIES;Felis catus Linnaeus, 1758;Felis catus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;45.850605;-122.835339;65;;;;;;2021-03-16T17:42:43;16;3;2021;2435035;2435035;HUMAN_OBSERVATION;iNaturalist;Observations;71396276;;outfoxxing;2021-03-17T00:43:02;CC_BY_NC_4_0;outfoxxing;outfoxxing;;;2021-05-09T22:35:24.806Z;StillImage;COORDINATE_ROUNDED
3058875278;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/70580688;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;;SPECIES;Puma concolor (Linnaeus, 1771);Puma concolor;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;42.051008;-123.842856;;;;;;;2021-02-25T10:33:23;25;2;2021;2435099;2435099;HUMAN_OBSERVATION;iNaturalist;Observations;70580688;;Drew Meyer;2021-03-04T23:47:39;CC_BY_NC_4_0;Drew Meyer;Drew Meyer;;;2021-05-09T22:35:21.188Z;StillImage;COORDINATE_ROUNDED
3044899893;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/69972394;Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;Felis catus;;SPECIES;Felis catus Linnaeus, 1758;Felis catus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;43.263774;-123.466672;3;;;;;;2020-12-10T06:55:00;10;12;2020;2435035;2435035;HUMAN_OBSERVATION;iNaturalist;Observations;69972394;;Matt Hunter;2021-02-22T06:07:47;CC_BY_NC_4_0;Matt Hunter;Matt Hunter;;;2021-05-09T22:57:19.519Z;;COORDINATE_ROUNDED
